count, instance_count, first_index, base_vertex, base_instance
384,1,0,0,0,
384,1,384,0,0,
384,1,768,0,0,
384,1,1152,0,0,
384,1,1536,0,0,
384,1,1920,0,0,
384,1,2304,0,0,
384,1,2688,0,0,
384,1,3072,0,0,
384,1,3456,0,0,
384,1,3840,0,0,
384,1,4224,0,0,
384,1,4608,0,0,
384,1,4992,0,0,
384,1,5376,0,0,
384,1,5760,0,0,
384,1,6144,0,0,
384,1,6528,0,0,
384,1,6912,0,0,
384,1,7296,0,0,
384,1,7680,0,0,
384,1,8064,0,0,
384,1,8448,0,0,
384,1,8832,0,0,
384,1,9216,0,0,
384,1,9600,0,0,
384,1,9984,0,0,
384,1,10368,0,0,
384,1,10752,0,0,
384,1,11136,0,0,
384,1,11520,0,0,
384,1,11904,0,0,
384,1,12288,0,0,
384,1,12672,0,0,
384,1,13056,0,0,
384,1,13440,0,0,
384,1,13824,0,0,
384,1,14208,0,0,
384,1,14592,0,0,
384,1,14976,0,0,
384,1,15360,0,0,
384,1,15744,0,0,
384,1,16128,0,0,
384,1,16512,0,0,
384,1,16896,0,0,
384,1,17280,0,0,
384,1,17664,0,0,
384,1,18048,0,0,
384,1,18432,0,0,
384,1,18816,0,0,
384,1,19200,0,0,
384,1,19584,0,0,
384,1,19968,0,0,
384,1,20352,0,0,
384,1,20736,0,0,
384,1,21120,0,0,
384,1,21504,0,0,
384,1,21888,0,0,
384,1,22272,0,0,
384,1,22656,0,0,
384,1,23040,0,0,
384,1,23424,0,0,
384,1,23808,0,0,
384,1,24192,0,0,
384,1,24576,0,0,
384,1,24960,0,0,
384,1,25344,0,0,
384,1,25728,0,0,
384,1,26112,0,0,
384,1,26496,0,0,
384,1,26880,0,0,
384,1,27264,0,0,
384,1,27648,0,0,
384,1,28032,0,0,
384,1,28416,0,0,
384,1,28800,0,0,
384,1,29184,0,0,
384,1,29568,0,0,
384,1,29952,0,0,
384,1,30336,0,0,
384,1,30720,0,0,
384,1,31104,0,0,
384,1,31488,0,0,
384,1,31872,0,0,
384,1,32256,0,0,
384,1,32640,0,0,
384,1,33024,0,0,
384,1,33408,0,0,
384,1,33792,0,0,
384,1,34176,0,0,
384,1,34560,0,0,
384,1,34944,0,0,
384,1,35328,0,0,
384,1,35712,0,0,
384,1,36096,0,0,
384,1,36480,0,0,
384,1,36864,0,0,
384,1,37248,0,0,
384,1,37632,0,0,
384,1,38016,0,0,
384,1,38400,0,0,
384,1,38784,0,0,
384,1,39168,0,0,
384,1,39552,0,0,
384,1,39936,0,0,
384,1,40320,0,0,
384,1,40704,0,0,
384,1,41088,0,0,
384,1,41472,0,0,
384,1,41856,0,0,
384,1,42240,0,0,
384,1,42624,0,0,
384,1,43008,0,0,
384,1,43392,0,0,
384,1,43776,0,0,
384,1,44160,0,0,
384,1,44544,0,0,
384,1,44928,0,0,
384,1,45312,0,0,
384,1,45696,0,0,
384,1,46080,0,0,
384,1,46464,0,0,
384,1,46848,0,0,
384,1,47232,0,0,
384,1,47616,0,0,
384,1,48000,0,0,
384,1,48384,0,0,
384,1,48768,0,0,
384,1,49152,0,0,
384,1,49536,0,0,
384,1,49920,0,0,
